first_image,second_image,answers,correct_answer,rule,action
19,-22,41,1,1,0
28,34,-6,0,1,1
14,12,2,1,1,0
-14,-28,14,1,1,0
22,4,18,1,1,0
6,-5,11,1,1,0
73,38,35,1,1,0
82,43,39,1,1,0
-31,7,-38,0,1,1
-35,10,-45,0,1,1
-14,-36,22,1,1,0
-33,-8,-25,0,1,1
-16,-8,-8,0,1,1
-5,3,-8,0,0,0
-14,-1,-13,0,0,0
-29,-40,11,1,0,1
21,29,-8,0,0,0
-81,-45,-36,0,0,0
-50,-25,-25,0,0,0
11,-19,30,1,0,1
-19,-13,-6,0,0,0
-16,21,-37,0,0,0
-40,-28,-12,0,0,0
12,0,12,1,0,1
15,14,1,1,0,1
48,7,41,1,0,1
-63,-22,-41,0,0,0
-17,-38,21,1,1,0
-14,-40,26,1,1,0
46,6,40,1,1,0
21,6,15,1,1,0
-13,20,-33,0,1,1
-36,-45,9,1,1,0
-42,-29,-13,0,1,1
87,42,45,1,1,0
-61,-44,-17,0,1,1
60,20,40,1,1,0
-30,-2,-28,0,1,1
54,24,30,1,1,0
-4,25,-29,0,1,1
28,13,15,1,1,0
-5,-34,29,1,1,0
-79,-42,-37,0,1,1
-49,-32,-17,0,1,1
-20,5,-25,0,0,0
-30,-15,-15,0,0,0
31,31,0,0,0,0
-29,-28,-1,0,0,0
-49,-26,-23,0,0,0
-14,-12,-2,0,0,0
26,24,2,1,0,1
24,-18,42,1,0,1
29,-10,39,1,0,1
-33,-35,2,1,0,1
57,30,27,1,0,1
32,-1,33,1,0,1
62,36,26,1,0,1
-40,-25,-15,0,0,0
35,-10,45,1,0,1
-4,-12,8,1,0,1
-82,-40,-42,0,0,0
36,30,6,1,0,1
11,38,-27,0,0,0
-42,-41,-1,0,1,1
-6,-22,16,1,1,0
54,17,37,1,1,0
-32,13,-45,0,1,1
-16,-5,-11,0,1,1
-4,37,-41,0,1,1
-73,-41,-32,0,1,1
-16,-26,10,1,1,0
53,39,14,1,0,1
39,5,34,1,0,1
-71,-26,-45,0,0,0
14,-14,28,1,0,1
42,43,-1,0,0,0
29,2,27,1,0,1
31,23,8,1,0,1
31,41,-10,0,0,0
