first_image,second_image,answers,correct_answer,rule,action
23,19,4,1,1,0
-11,28,-39,0,1,1
-46,-4,-42,0,1,1
15,37,-22,0,1,1
32,4,28,1,1,0
13,-19,32,1,1,0
48,28,20,1,1,0
23,-11,34,1,1,0
-56,-33,-23,0,0,0
-6,-27,21,1,0,1
-34,-29,-5,0,0,0
16,18,-2,0,0,0
7,-36,43,1,0,1
43,22,21,1,0,1
-67,-41,-26,0,0,0
16,28,-12,0,0,0
4,-23,27,1,0,1
56,15,41,1,1,0
-28,-30,2,1,1,0
14,28,-14,0,1,1
-14,15,-29,0,1,1
9,26,-17,0,1,1
61,37,24,1,1,0
-3,18,-21,0,1,1
28,9,19,1,1,0
66,44,22,1,1,0
44,5,39,1,1,0
7,-13,20,1,1,0
-19,-7,-12,0,1,1
53,27,26,1,1,0
-77,-38,-39,0,1,1
-4,-7,3,1,1,0
-7,27,-34,0,1,1
-21,9,-30,0,1,1
-31,-8,-23,0,0,0
-34,-31,-3,0,0,0
-10,-25,15,1,0,1
28,31,-3,0,0,0
5,32,-27,0,0,0
21,-10,31,1,0,1
-49,-14,-35,0,0,0
51,42,9,1,0,1
5,39,-34,0,0,0
-35,-7,-28,0,0,0
28,1,27,1,0,1
15,-3,18,1,0,1
-11,-28,17,1,0,1
74,38,36,1,0,1
67,30,37,1,0,1
45,34,11,1,0,1
-33,-1,-32,0,0,0
46,37,9,1,1,0
34,-4,38,1,1,0
30,-13,43,1,1,0
-7,-8,1,1,1,0
3,-4,7,1,1,0
-18,-39,21,1,1,0
-3,-16,13,1,1,0
4,-41,45,1,1,0
7,12,-5,0,1,1
-65,-25,-40,0,1,1
6,5,1,1,1,0
23,20,3,1,1,0
-66,-24,-42,0,1,1
52,27,25,1,1,0
4,-36,40,1,1,0
12,43,-31,0,1,1
42,34,8,1,1,0
39,5,34,1,1,0
-9,-26,17,1,1,0
0,32,-32,0,1,1
5,41,-36,0,1,1
36,16,20,1,0,1
-25,16,-41,0,0,0
9,-2,11,1,0,1
-26,14,-40,0,0,0
-83,-43,-40,0,0,0
-6,-33,27,1,0,1
-29,-28,-1,0,0,0
-43,-14,-29,0,0,0
4,43,-39,0,0,0
15,-4,19,1,0,1
47,40,7,1,0,1
-56,-33,-23,0,0,0
38,0,38,1,0,1
5,-21,26,1,0,1
-34,-26,-8,0,0,0
-14,15,-29,0,0,0
-1,-5,4,1,0,1
-42,-32,-10,0,0,0
-29,-40,11,1,0,1
52,21,31,1,0,1
-7,-15,8,1,0,1
-15,-4,-11,0,1,1
-15,12,-27,0,1,1
-21,16,-37,0,1,1
-2,4,-6,0,1,1
4,-32,36,1,1,0
-2,-7,5,1,1,0
-43,2,-45,0,1,1
-45,-31,-14,0,1,1
39,8,31,1,1,0
-1,-24,23,1,1,0
-16,-29,13,1,1,0
54,32,22,1,1,0
-1,-11,10,1,1,0
-6,-14,8,1,1,0
-39,-31,-8,0,1,1
-5,-34,29,1,1,0
-12,10,-22,0,1,1
56,41,15,1,1,0
-37,-22,-15,0,1,1
-6,-43,37,1,1,0
-29,-34,5,1,1,0
-35,2,-37,0,0,0
-20,-9,-11,0,0,0
-18,-2,-16,0,0,0
-2,-12,10,1,0,1
26,38,-12,0,0,0
-36,-9,-27,0,0,0
-84,-42,-42,0,0,0
8,-17,25,1,0,1
-2,12,-14,0,0,0
7,-12,19,1,0,1
-36,-27,-9,0,0,0
-25,6,-31,0,0,0
47,38,9,1,0,1
-32,-7,-25,0,1,1
-33,-32,-1,0,1,1
-2,17,-19,0,1,1
-30,-21,-9,0,1,1
-57,-20,-37,0,1,1
-18,10,-28,0,1,1
73,29,44,1,1,0
36,7,29,1,1,0
-32,13,-45,0,1,1
-14,-11,-3,0,1,1
9,-5,14,1,1,0
22,39,-17,0,1,1
-12,29,-41,0,1,1
-31,-36,5,1,1,0
31,-11,42,1,0,1
17,-18,35,1,0,1
-70,-26,-44,0,0,0
-32,-32,0,0,0,0
-4,32,-36,0,0,0
-10,3,-13,0,0,0
15,34,-19,0,0,0
36,23,13,1,0,1
23,40,-17,0,0,0
-8,5,-13,0,0,0
49,25,24,1,0,1
78,40,38,1,1,0
21,36,-15,0,1,1
64,28,36,1,1,0
18,26,-8,0,1,1
22,4,18,1,1,0
20,20,0,0,1,1
-41,2,-43,0,1,1
81,39,42,1,1,0
21,15,6,1,0,1
-2,-25,23,1,0,1
43,28,15,1,0,1
-38,-27,-11,0,0,0
39,43,-4,0,0,0
33,3,30,1,0,1
-2,-2,0,0,0,0
80,41,39,1,0,1
65,21,44,1,0,1
-6,19,-25,0,0,0
41,9,32,1,0,1
47,35,12,1,0,1
-20,-13,-7,0,0,0
63,21,42,1,0,1
-67,-37,-30,0,0,0
-47,-25,-22,0,0,0
49,32,17,1,0,1
19,24,-5,0,0,0
0,7,-7,0,0,0
23,-3,26,1,0,1
-10,14,-24,0,0,0
-55,-17,-38,0,1,1
37,-4,41,1,1,0
81,41,40,1,1,0
-65,-32,-33,0,1,1
42,7,35,1,1,0
16,2,14,1,1,0
-13,30,-43,0,1,1
-74,-30,-44,0,1,1
-61,-26,-35,0,0,0
36,29,7,1,0,1
-9,-21,12,1,0,1
50,44,6,1,0,1
72,44,28,1,0,1
61,38,23,1,0,1
-32,-44,12,1,0,1
-66,-21,-45,0,0,0
15,19,-4,0,0,0
-30,-6,-24,0,0,0
67,34,33,1,0,1
-73,-30,-43,0,0,0
-17,-21,4,1,0,1
59,20,39,1,0,1
-23,3,-26,0,0,0
-12,18,-30,0,1,1
-17,-33,16,1,1,0
4,22,-18,0,1,1
18,4,14,1,1,0
27,24,3,1,1,0
9,41,-32,0,1,1
-17,8,-25,0,1,1
42,14,28,1,1,0
-48,-10,-38,0,1,1
9,29,-20,0,1,1
-27,-6,-21,0,0,0
34,5,29,1,0,1
28,44,-16,0,0,0
-25,8,-33,0,0,0
27,21,6,1,0,1
-35,-16,-19,0,0,0
28,-5,33,1,0,1
-71,-30,-41,0,0,0
-63,-45,-18,0,0,0
-68,-42,-26,0,0,0
22,-8,30,1,0,1
-41,-32,-9,0,0,0
-13,-43,30,1,1,0
-54,-10,-44,0,1,1
-64,-43,-21,0,1,1
35,2,33,1,1,0
-5,23,-28,0,1,1
25,-20,45,1,1,0
41,6,35,1,1,0
-18,-8,-10,0,1,1
22,-19,41,1,1,0
-47,-40,-7,0,1,1
46,2,44,1,0,1
-28,-8,-20,0,0,0
32,38,-6,0,0,0
5,3,2,1,0,1
8,9,-1,0,0,0
14,18,-4,0,0,0
4,6,-2,0,0,0
30,-4,34,1,0,1
-19,5,-24,0,0,0
0,33,-33,0,0,0
-17,-1,-16,0,0,0
19,-24,43,1,1,0
19,32,-13,0,1,1
21,3,18,1,1,0
-77,-42,-35,0,1,1
30,14,16,1,1,0
47,31,16,1,1,0
85,40,45,1,1,0
-63,-25,-38,0,1,1
42,10,32,1,1,0
-54,-23,-31,0,1,1
50,40,10,1,1,0
-14,-39,25,1,1,0
-52,-34,-18,0,1,1
42,41,1,1,1,0
-3,17,-20,0,1,1
55,33,22,1,1,0
27,3,24,1,1,0
54,17,37,1,1,0
-16,-1,-15,0,0,0
-22,-12,-10,0,0,0
42,40,2,1,0,1
-50,-44,-6,0,0,0
17,-23,40,1,0,1
-61,-25,-36,0,0,0
7,41,-34,0,0,0
13,15,-2,0,0,0
10,-20,30,1,0,1
-74,-32,-42,0,0,0
-8,-14,6,1,1,0
5,-16,21,1,1,0
38,37,1,1,1,0
16,-29,45,1,1,0
-17,-2,-15,0,1,1
7,-31,38,1,1,0
18,-26,44,1,1,0
-19,12,-31,0,1,1
54,19,35,1,1,0
23,-12,35,1,1,0
-12,-34,22,1,1,0
-61,-32,-29,0,1,1
-27,1,-28,0,1,1
-5,36,-41,0,1,1
-44,-13,-31,0,1,1
16,28,-12,0,1,1
-29,-38,9,1,1,0
8,-32,40,1,1,0
-9,3,-12,0,1,1
-46,-6,-40,0,1,1
27,-11,38,1,1,0
-10,-22,12,1,0,1
-10,-4,-6,0,0,0
-36,4,-40,0,0,0
32,16,16,1,0,1
13,-30,43,1,0,1
22,33,-11,0,0,0
-13,-7,-6,0,0,0
49,11,38,1,0,1
-38,-44,6,1,0,1
31,39,-8,0,0,0
-29,-37,8,1,0,1
-37,-34,-3,0,0,0
-15,-26,11,1,0,1
-86,-44,-42,0,1,1
-13,-32,19,1,1,0
56,42,14,1,1,0
22,-20,42,1,1,0
74,42,32,1,1,0
39,27,12,1,1,0
3,16,-13,0,1,1
-48,-3,-45,0,1,1
-46,-11,-35,0,1,1
-55,-44,-11,0,1,1
52,26,26,1,1,0
